click	market_price	weekday	hour	siteid	slot_w	slot_h	advertiser	pctr
0	70.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	30.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	30.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	52.0	5	22	8b6dd03ea345902acb8bfab9758b7f41	320	50	2997	0.017958916629950056
0	135.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	6.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	79.0	5	22	2c1e2f4301b477e5dc56e414ba8eca1d	320	50	2997	0.06450935768210547
0	5.0	5	22	b060642b75e22c725a3bcc47560a8997	320	50	2997	0.00112318195894672
0	23.0	5	22	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013233065034887796
0	41.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	157.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	26.0	5	22	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013233065034887796
0	67.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	85.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	6.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	62.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	40.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	30.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	74.0	5	22	d63d96468f66986d5a8eb5225ad0b6f0	320	50	2997	0.2997625582509652
0	58.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	92.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	88.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	14.0	5	22	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013233065034887796
0	30.0	5	22	UNKNOWN_SITE	320	50	2997	0.49968303791785706
0	30.0	5	22	35c6cf75ff181b94b7e355dc4745367b	320	50	2997	0.03206257431427452
0	105.0	5	22	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013233065034887796
0	33.0	5	22	7cabda624f120c91eaa1fce3b80103c2	320	50	2997	0.09630825081993805
0	45.0	5	22	fb16229d425dcda35bdcce04d491b9a2	320	50	2997	0.09718155819644661
0	45.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	49.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	36.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	34.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	56.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	17.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	139.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	204.0	5	23	ba03d2a3275f46bd16725bdae4b4874f	320	50	2997	0.3233772273351106
0	32.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	13.0	5	23	b060642b75e22c725a3bcc47560a8997	320	50	2997	0.0011184073947141011
0	5.0	5	23	fadff97ab6734b6ad0e59c0f7abd316e	320	50	2997	0.09682848625004936
0	26.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	256.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	148.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	23.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	227.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	35.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	140.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	140.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	140.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	81.0	5	23	ad2e49752657a56f445def8cc32d6f82	320	50	2997	0.09682087180882366
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	17.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	64.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	105.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	111.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	132.0	5	23	bdf39962b4d99f71edf06b24d3bff2c5	320	50	2997	0.18305414097365075
0	61.0	5	23	ba03d2a3275f46bd16725bdae4b4874f	320	50	2997	0.3233772273351106
0	100.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	40.0	5	23	26c4f2be7fbb7405f84e4cf89441e833	320	50	2997	0.06384011851577055
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	91.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	12.0	5	23	b060642b75e22c725a3bcc47560a8997	320	50	2997	0.0011184073947141011
0	67.0	5	23	7cd2b1262130085aef1a347b6005039	320	50	2997	0.4709002218456046
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	10.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	201.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	214.0	5	23	234e742a85b34e2766f3f902bc7d6825	320	50	2997	0.09478773488455382
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	101.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	202.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	66.0	5	23	342639a057c812b945d8be08e25dcc16	320	50	2997	0.8807717775143866
0	60.0	5	23	980712b4b0c8cce2ad686fec9a32b1e6	320	50	2997	0.08354490468429934
0	188.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	49.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	9.0	5	23	80e2bf50cea1e8934f05072aef82b09	320	50	2997	0.022569175782178378
0	7.0	5	23	80e2bf50cea1e8934f05072aef82b09	320	50	2997	0.022569175782178378
0	148.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	5.0	5	23	b060642b75e22c725a3bcc47560a8997	320	50	2997	0.0011184073947141011
0	42.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	112.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	66.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	10.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	80.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	259.0	5	23	9de17fa966a6afd33634cd5d7ddf3e3e	320	50	2997	0.512431686920442
0	7.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	164.0	5	23	80416ea850483a978e59696406246af4	320	50	2997	0.061257880265028125
0	225.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	250.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	15.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	101.0	5	23	35c6cf75ff181b94b7e355dc4745367b	320	50	2997	0.031930482913575746
0	28.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	187.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	14.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	11.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	74.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	117.0	5	23	6e9c0e0bc0e584838ad187cad9852248	320	50	2997	0.013177491361416035
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	119.0	5	23	d63d96468f66986d5a8eb5225ad0b6f0	320	50	2997	0.29886812752946784
0	35.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	112.0	5	23	ba03d2a3275f46bd16725bdae4b4874f	320	50	2997	0.3233772273351106
0	31.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	36.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	23.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	30.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	38.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	68.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	6.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	191.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
0	9.0	5	23	b060642b75e22c725a3bcc47560a8997	320	50	2997	0.0011184073947141011
0	86.0	5	23	UNKNOWN_SITE	320	50	2997	0.4986168495169994
